OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
fgApSMTPMemUsage,1.3.6.1.4.1.12356.101.10.101.2,gauge32,read-only,objecttype,scalar,"SMTP Proxy memory utilization (percentage of system total)"
fgApSMTPStatsTable,1.3.6.1.4.1.12356.101.10.101.3,,no-access,objecttype,table,"A table of SMTP proxy statistics per virtual domain"
fgApSMTPStatsEntry,1.3.6.1.4.1.12356.101.10.101.3.1,,no-access,objecttype,row,"SMTP Proxy statistics for a particular virtual domain"
fgApSMTPReqProcessed,1.3.6.1.4.1.12356.101.10.101.3.1.1,counter32,read-only,objecttype,column,"Number of requests in this virtual domain processed by the SMTP proxy since start-up"
fgApSMTPSpamDetected,1.3.6.1.4.1.12356.101.10.101.3.1.2,counter32,read-only,objecttype,column,"Number of spam detected in this virtual domain by the SMTP proxy since start-up"
fgApSMTPConnections,1.3.6.1.4.1.12356.101.10.101.4,unsigned32,read-only,objecttype,scalar,"SMTP proxy current connections"
fgApSMTPMaxConnections,1.3.6.1.4.1.12356.101.10.101.5,unsigned32,read-only,objecttype,scalar,"Maximum number of connections supported by SMTP proxy"
fgAppProxyPOP3,1.3.6.1.4.1.12356.101.10.102,,,objectidentity,,""
fgApPOP3UpTime,1.3.6.1.4.1.12356.101.10.102.1,counter32,read-only,objecttype,scalar,"Up-time of the POP3 proxy, in seconds"
fgApPOP3MemUsage,1.3.6.1.4.1.12356.101.10.102.2,gauge32,read-only,objecttype,scalar,"Memory usage of the POP3 Proxy (percentage of system total)"
fgApPOP3StatsTable,1.3.6.1.4.1.12356.101.10.102.3,,no-access,objecttype,table,"A table of POP3 proxy statistics per virtual domain"
fgApPOP3StatsEntry,1.3.6.1.4.1.12356.101.10.102.3.1,,no-access,objecttype,row,"Proxy pop3 statistics for a particular virtual domain"
fgApPOP3ReqProcessed,1.3.6.1.4.1.12356.101.10.102.3.1.1,counter32,read-only,objecttype,column,"Number of requests in this virtual domain processed by the POP3 proxy since start-up"
fgApPOP3SpamDetected,1.3.6.1.4.1.12356.101.10.102.3.1.2,counter32,read-only,objecttype,column,"Number of spam detected in this virtual domain by the POP3 Proxy since start-up"
fgApPOP3Connections,1.3.6.1.4.1.12356.101.10.102.4,unsigned32,read-only,objecttype,scalar,"POP3 proxy current connections"
fgApPOP3MaxConnections,1.3.6.1.4.1.12356.101.10.102.5,unsigned32,read-only,objecttype,scalar,"Maximum number of connections supported by POP3 proxy"
fgAppProxyIMAP,1.3.6.1.4.1.12356.101.10.103,,,objectidentity,,""
fgApIMAPUpTime,1.3.6.1.4.1.12356.101.10.103.1,counter32,read-only,objecttype,scalar,"Up-time of the IMAP proxy, in seconds"
fgApIMAPMemUsage,1.3.6.1.4.1.12356.101.10.103.2,gauge32,read-only,objecttype,scalar,"Memory utilization of the IMAP Proxy (as a percentage of the system total)"
fgApIMAPStatsTable,1.3.6.1.4.1.12356.101.10.103.3,,no-access,objecttype,table,"A table of IMAP proxy statistics per virtual domain"
fgApIMAPStatsEntry,1.3.6.1.4.1.12356.101.10.103.3.1,,no-access,objecttype,row,"IMAP Proxy statistics for a particular virtual domain"
fgApIMAPReqProcessed,1.3.6.1.4.1.12356.101.10.103.3.1.1,counter32,read-only,objecttype,column,"Number of requests in this virtual domain processed by the IMAP proxy since start-up"
fgApIMAPSpamDetected,1.3.6.1.4.1.12356.101.10.103.3.1.2,counter32,read-only,objecttype,column,"Number of spam detected in this virtual domain by the IMAP proxy since start-up"
fgApIMAPConnections,1.3.6.1.4.1.12356.101.10.103.4,unsigned32,read-only,objecttype,scalar,"IMAP proxy current connections"
fgApIMAPMaxConnections,1.3.6.1.4.1.12356.101.10.103.5,unsigned32,read-only,objecttype,scalar,"Maximum number of connections supported by IMAP proxy"
fgAppProxyNNTP,1.3.6.1.4.1.12356.101.10.104,,,objectidentity,,""
fgApNNTPUpTime,1.3.6.1.4.1.12356.101.10.104.1,counter32,read-only,objecttype,scalar,"Up-time of the NNTP proxy, in seconds"
fgApNNTPMemUsage,1.3.6.1.4.1.12356.101.10.104.2,gauge32,read-only,objecttype,scalar,"Memory utilization of the NNTP proxy, as a percentage of the system total"
fgApNNTPStatsTable,1.3.6.1.4.1.12356.101.10.104.3,,no-access,objecttype,table,"A table of NNTP proxy statistics per virtual domain"
fgApNNTPStatsEntry,1.3.6.1.4.1.12356.101.10.104.3.1,,no-access,objecttype,row,"NNTP Proxy statistics for a particular virtual domain"
fgApNNTPReqProcessed,1.3.6.1.4.1.12356.101.10.104.3.1.1,counter32,read-only,objecttype,column,"Number of requests in the virtual domain processed by the NNTP proxy since start-up"
fgApNNTPConnections,1.3.6.1.4.1.12356.101.10.104.4,unsigned32,read-only,objecttype,scalar,"NNTP proxy current connections"
fgApNNTPMaxConnections,1.3.6.1.4.1.12356.101.10.104.5,unsigned32,read-only,objecttype,scalar,"Maximum number of connections supported by NNTP proxy"
fgAppProxyIM,1.3.6.1.4.1.12356.101.10.105,,,objectidentity,,""
fgApIMUpTime,1.3.6.1.4.1.12356.101.10.105.1,counter32,read-only,objecttype,scalar,"Up-time of the IM proxy, in seconds"
fgApIMMemUsage,1.3.6.1.4.1.12356.101.10.105.2,gauge32,read-only,objecttype,scalar,"IM Proxy memory usage, as a percentage of the system total"
fgApIMStatsTable,1.3.6.1.4.1.12356.101.10.105.3,,no-access,objecttype,table,"A table of IM proxy statistics per virtual domain"
fgApIMStatsEntry,1.3.6.1.4.1.12356.101.10.105.3.1,,no-access,objecttype,row,"IM Proxy statistics for a particular virtual domain"
fgApIMReqProcessed,1.3.6.1.4.1.12356.101.10.105.3.1.1,counter32,read-only,objecttype,column,"Number of requests in this virtual domain processed by the IM proxy since start-up"
fgAppProxySIP,1.3.6.1.4.1.12356.101.10.106,,,objectidentity,,""
fgApSIPUpTime,1.3.6.1.4.1.12356.101.10.106.1,counter32,read-only,objecttype,scalar,"Up-time of the SIP Proxy, in seconds"
fgApSIPMemUsage,1.3.6.1.4.1.12356.101.10.106.2,gauge32,read-only,objecttype,scalar,"SIP Proxy memory utilization, as a percentage of the system total"
fgApSIPStatsTable,1.3.6.1.4.1.12356.101.10.106.3,,no-access,objecttype,table,"A table of SIP proxy statistics per virtual domain"
fgApSIPStatsEntry,1.3.6.1.4.1.12356.101.10.106.3.1,,no-access,objecttype,row,"SIP Proxy statistics for a particular virtual domain"
fgApSIPClientReg,1.3.6.1.4.1.12356.101.10.106.3.1.1,counter32,read-only,objecttype,column,"Number of client registration requests (Register and Options) in this virtual domain processed by the SIP proxy since start-up"
fgApSIPCallHandling,1.3.6.1.4.1.12356.101.10.106.3.1.2,counter32,read-only,objecttype,column,"Number of call handling requests (Invite, Ack, Bye, Cancel and Refer) in this virtual domain processed by the SIP proxy since start-up"
fgApSIPServices,1.3.6.1.4.1.12356.101.10.106.3.1.3,counter32,read-only,objecttype,column,"Number of service requests (Subscribe, notify and Message) in this virtual domain processed by the SIP proxy since start-up"
fgApSIPOtherReq,1.3.6.1.4.1.12356.101.10.106.3.1.4,counter32,read-only,objecttype,column,"Number of other sip requests in this virtual domain processed by the SIP proxy since start-up"
fgAppScanUnit,1.3.6.1.4.1.12356.101.10.107,,,objectidentity,,""
fgAppSuNumber,1.3.6.1.4.1.12356.101.10.107.1,gauge32,read-only,objecttype,scalar,"The number of scan units in the fgAppSuStatsTable"
fgAppSuStatsTable,1.3.6.1.4.1.12356.101.10.107.2,,no-access,objecttype,table,"A table of scan unit statistics"
fgAppSuStatsEntry,1.3.6.1.4.1.12356.101.10.107.2.1,,no-access,objecttype,row,"Statistics entry for a particular scan unit"
